Company,Product,Cpu,Ram,Gpu,OpSys,Inches,Price,Cpu_brand,Gpu_brand,HDD,SSD,LogPrice
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,"Dual Core, 2 Threads",8,AMD Radeon 610M Graphics,Windows 11 OS,15.6,26590,"Dual Core,",AMD,0,512,10.18829048
Infinix,INBook X2 Slim Series XL23 2023 Laptop,"Quad Core, 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,37990,"Quad Core,",Intel,0,1000,10.54507825
Asus,Vivobook Pro 15 M6500RC-HN741WS Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,71189,"Octa Core,",4GB,0,512,11.17309359
HP,Victus 16-s0095AX Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16.1,85999,"Octa Core,",6GB,0,512,11.36209095
Lenovo,Yoga 7 82YM0074IN Laptop,"Octa Core, 16 Threads",16,AMD Radeon Graphics,Windows 11 OS,14,93990,"Octa Core,",AMD,0,1000,11.45094367
Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,84990,12 Cores,Intel,0,512,11.35028888
Dell,Inspiron 3530 2023 Laptop,"5 Cores (1P + 4E), 6 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,44190,5 Cores,Intel,0,1000,10.6962538
Acer,Predator 16 NH.QLUSI.005 Laptop,"24 Cores (8P + 16E), 32 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,159990,24 Cores,8GB,0,1000,11.98286659
HP,Victus 15-fb0134AX Gaming Laptop,"Hexa Core, 12 Threads",16,4GB AMD Radeon RX 6500M Graphics,Windows 11 OS,15.6,52990,"Hexa Core,",4GB,0,512,10.8778585
Acer,Aspire Lite 2023 AL15-51 Laptop,"Quad Core, 8 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,39990,"Quad Core,",Intel,0,512,10.5963847
Dell,Inspiron 2023 14 5430 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,73990,10 Cores,Intel,0,1000,11.21168523
Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,"Quad Core, 8 Threads",16,4GB NVIDIA GTX 1650,Windows 11 OS,15.6,57500,"Quad Core,",4GB,0,512,10.95954023
Asus,Vivobook Pro 15 M6500QF-HN521WS Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,59990,"Hexa Core,",4GB,0,512,11.00193316
Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce GTX 1650,Windows 11 OS,15.6,53990,Octa Core,4GB,0,512,10.89655412
Asus,VivoBook 14 X415EA-EK326WS Notebook,"Dual Core, 4 Threads",8,Intel Integrated Intel UHD,Windows 11 OS,14,33990,"Dual Core,",Intel,0,512,10.43382164
Dell,Inspiron 5630 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,16,75990,12 Cores,Intel,0,512,11.23835703
Apple,MacBook Air 15 2023 Laptop,Octa Core (4P + 4E),8,10-Core GPU,Mac OS,15.3,144990,Octa Core,10-Core,0,512,11.88442005
Asus,Vivobook 15 X1502ZA-EJ542WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe,Windows 11 OS,15.6,60539,12 Cores,Intel,0,512,11.01104306
Asus,Vivobook 15 M1502QA-EJ742WS Laptop,"Octa Core, 16 Threads",16,AMD Radeon,Windows OS,15.6,56990,"Octa Core,",AMD,0,512,10.95063109
HP,Pavilion 15-eg3027TU Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,75533,12 Cores,Intel,0,512,11.23232493
Dell,G15-5530 GN553064GRM002ORB1 Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",8,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,74990,10 Cores,6GB,0,512,11.22511005
Asus,TUF Gaming A15 FA577NU-LP082W Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,94990,"Octa Core,",6GB,0,512,11.4615269
Asus,ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,"24 Cores (8P + 16E), 32 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,179990,24 Cores,8GB,0,1000,12.10065657
Asus,Vivobook 16X 2023 K3605ZC-MB541WS Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,16,77990,Octa Core,4GB,0,512,11.26433589
HP,15s-fr5009TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,37990,Hexa Core,Intel,0,512,10.54507825
HP,15-fd0013TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Integrated,Windows 11 OS,15.6,62990,10 Cores,Intel,0,512,11.05073126
Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,"16 Cores (8P + 8E), 24 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,129999,16 Cores,8GB,0,1000,11.77528204
HP,Pavilion 15-eh2050AU Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,52990,"Hexa Core,",AMD,0,512,10.8778585
Acer,Predator Helios Neo 16 PHN16-71 Laptop,"16 Cores (8P + 8E), 24 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,16,104990,16 Cores,6GB,0,512,11.56162039
Realme,Book Prime CloudPro002 Laptop,"Quad Core, 8 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14,47999,"Quad Core,",Intel,0,512,10.77893546
Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,"16 Cores (8P + 8E), 24 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,16,114499,16 Cores,6GB,0,1000,11.64832137
HP,Pavilion 15-eg2017TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,49990,Hexa Core,Intel,0,512,10.81957826
Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Iris Xe,Windows 11 OS,15.6,39990,Hexa Core,Intel,0,512,10.5963847
Acer,Nitro 5 AN515-47 2023 Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,68990,"Hexa Core,",4GB,0,512,11.14171685
Acer,Nitro 5 AN515-47 Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,79990,"Octa Core,",4GB,0,512,11.28965691
MSI,GF63 Thin 11UC-1293IN Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA Geforce RTX 3050,Windows 11 OS,15.6,66490,"Octa Core,",4GB,0,512,11.10480684
Asus,Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop,"Octa Core, 16 Threads",16,AMD Radeon Graphics,Windows 11 OS,14,69990,"Octa Core,",AMD,0,512,11.15610765
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,15.6,86490,12 Cores,Intel,0,512,11.36778408
HP,15-fc0025AU Laptop,"Quad Core, 8 Threads",8,AMD Radeon AMD,Windows 11 OS,15.6,32790,"Quad Core,",AMD,0,512,10.39787887
Asus,ROG Zephyrus Duo 16,"16 Cores, 32 Threads",32,16GB NVIDIA GeForce RTX 4090,Windows 11 OS,16,429990,"16 Cores,",16GB,0,2000,12.97151723
Dell,Vostro 3425 M552321WIN9S Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Graphics,Windows 11 OS,14,49990,"Hexa Core,",AMD,0,512,10.81957826
MSI,Modern 14 C7M-062IN Laptop,"Hexa Core, 12 Threads",16,AMD Radeon AMD,Windows 11 OS,14,43990,"Hexa Core,",AMD,0,512,10.69171761
MSI,Modern 14 C11M-030IN Laptop,"Quad Core, 8 Threads",8,Intel Integrated Iris Xe,Windows 11 OS,14,36990,"Quad Core,",Intel,0,512,10.51840288
MSI,Sword 15 A12VF-401IN Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,102990,10 Cores,8GB,0,1000,11.54238718
Acer,Extensa 15 EX215-33 Laptop,"Octa Core, 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,29990,"Octa Core,",Intel,0,256,10.30861927
HP,Pavilion x360 14-ek1010TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,77889,10 Cores,Intel,0,1000,11.26304002
Samsung,Galaxy Book 3 NP750XFG-KB1IN Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,69990,10 Cores,Intel,0,512,11.15610765
Samsung,Galaxy Book 3 360 NP750QFG-KA3IN Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,15.6,138990,12 Cores,Intel,0,1000,11.84215727
HP,Victus 15-fb0777AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB AMD Radeon RX 6500M Graphics,Windows 11 OS,15.6,51990,"Hexa Core,",4GB,0,512,10.85880667
Samsung,Galaxy Book 3 Laptop,"12 Cores (4P + 8E), 16 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14,69990,12 Cores,Intel,0,512,11.15610765
Asus,Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,72990,"Hexa Core,",4GB,0,512,11.19807772
Asus,Vivobook 16X M1603QA-MB512WS Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Vega 7,Windows 11 OS,16,50400,"Hexa Core,",AMD,0,512,10.82774645
Dell,Latitude 3430 Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14,108000,10 Cores,Intel,0,512,11.58988651
Dell,Inspiron 3520 Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,50990,10 Cores,Intel,0,0,10.83938481
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,"Quad Core, 8 Threads",8,4GB NVIDIA GeForce RTX 3050 Graphics,Windows 11 OS,15.6,47990,"Quad Core,",4GB,0,512,10.77874793
HP,Omen 16-n0079AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB AMD Radeon RX 6650M,Windows 11 OS,16.1,91990,"Octa Core,",8GB,0,512,11.42943515
Acer,One 14 Z2-493 Laptop,"Dual Core, 4 Threads",8,AMD Radeon Graphics,Windows 11 OS,14,25449,"Dual Core,",AMD,0,256,10.14443173
Acer,Aspire 3 A315-59 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Graphics ,Windows 11 OS,15.6,33207,Hexa Core,Intel,0,512,10.41051598
HP,Pavilion 15s-FR5007TU Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe,Windows 11 OS,15.6,52990,10 Cores,Intel,0,512,10.8778585
Dell,Vostro 3425 Laptop,"Hexa Core, 12 Threads",8,AMD Radeon Graphics,Windows 11 OS,14,42434,"Hexa Core,",AMD,0,512,10.65570521
HP,15s-du3614TU Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,42200,"Dual Core,",Intel,0,0,10.6501755
HP,Pavilion 15s-eq2182AU Laptop,"Hexa Core, 12 Threads",16,AMD Radeon Graphics,Windows 11 OS,15.6,41990,"Hexa Core,",AMD,0,512,10.64518677
Asus,TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,15.6,80900,"Octa Core,",4GB,0,512,11.3009691
Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD Graphics,Windows 11 OS,15.6,38990,"Dual Core,",Intel,0,512,10.57106048
Apple,MacBook Air 2022 Laptop,Octa Core,8,10-Core GPU,Mac OS,13.6,135990,Octa Core,10-Core,0,512,11.82033663
Asus,Vivobook S15 OLED K3502ZA-L501WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris XE Graphics,Windows 11 OS,15.6,72490,12 Cores,Intel,0,512,11.1912039
Asus,Vivobook S14 OLED S3402ZA-KM501WS Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,72490,12 Cores,Intel,0,512,11.1912039
Dell,Inspiron 3511 Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,15.56,35990,"Dual Core,",Intel,0,512,10.4909964
Xiaomi,Mi Notebook Ultra Laptop,"Quad Core, 8 Threads",8,Intel Iris Xe Graphics,Windows 10  OS,15.6,45989,"Quad Core,",Intel,0,512,10.73615752
Dell,Inspiron 3501 Laptop,"Quad Core, 8 Threads",8,Intel Iris Xe Graphics,Windows 10 OS,15.6,52500,"Quad Core,",Intel,0,0,10.86856845
Dell,Latitude 3410 Laptop,"Quad Core, 8 Threads",8,Intel HD,Ubuntu OS,14,59999,"Quad Core,",Intel,0,512,11.00208317
Apple,MacBook Air 2020 MGN73HN Laptop,Octa Core (4P + 4E),8,Apple M1 Integrated Graphics,Mac OS,13.3,112990,Octa Core,Apple,0,512,11.6350546
Avita,Pura NS14A6 Laptop,"Quad Core, 8 Threads",8,AMD Radeon Vega 8,Windows 10 OS,14,21990,"Quad Core,",AMD,0,512,9.998343084
Apple,MacBook Pro 16 Laptop,Octa Core,32,4GB Radeon Pro 5500M,Mac Catalina OS,16,201498,Octa Core,4GB,0,2000,12.21353473
HP,Victus 15-fa1145TX Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,64990,Octa Core,4GB,0,1000,11.08198869
Lenovo,Thinkpad E14 G4 21E3S00P00 Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Iris Xe Graphics,DOS OS,14,68999,10 Cores,Intel,0,512,11.14184729
Lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,60990,"Hexa Core,",4GB,0,512,11.0184652
Dell,Inspiron 3520 IN3520P9K46002ORS1 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,40990,Hexa Core,Intel,0,512,10.62108341
Lenovo,LOQ 15APH8 82XT004KIN Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,107690,"Octa Core,",8GB,0,512,11.58701201
Lenovo,V15 G4 Laptop,"Dual Core, 2 Threads",8,AMD Radeon 610M,Windows 11 OS,15.6,25490,"Dual Core,",AMD,0,512,10.1460415
HP,15s-FR5012TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,38999,Hexa Core,Intel,0,512,10.57129128
Infinix,INBook Y1 Plus 15 XL28 Laptop,"Quad Core, 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,59990,"Quad Core,",Intel,0,512,11.00193316
HP,Victus 15-FA1098TX Laptop,"Octa Core (4P + 4E), 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,60990,Octa Core,4GB,0,512,11.0184652
HP,Victus 15-fb1002AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,55500,"Hexa Core,",4GB,0,512,10.9241383
HP,Pavilion Plus ‎16-ab0456TX Laptop,"14 Cores (6P + 8E), 20 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16,124999,14 Cores,6GB,0,1000,11.73606102
HP,Omen 16-XD0007ax Gaming Laptop,"Octa Core, 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,16.1,104990,"Octa Core,",6GB,0,1000,11.56162039
MSI,Katana 15 B12VGK-1295IN Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,8GB NVIDIA GeForce RTX 4070,Windows 11 OS,15.6,136990,10 Cores,8GB,0,1000,11.82766321
Lenovo,Legion Slim 5 82Y9009JIN Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,131990,"Octa Core,",8GB,0,1000,11.79048144
Lenovo,IdeaPad Slim 3 14ITL6 82H701N3IN Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,14,36490,"Dual Core,",Intel,0,512,10.50479353
Asus,ROG Flow X13 GV302XV-MU016WS Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,13.4,188752,"Octa Core,",8GB,0,1000,12.14818926
HP,250 G9 7M657PA Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated,Windows 11 OS,15.6,36999,Hexa Core,Intel,0,512,10.51864616
Lenovo,Yoga 7 82YL0095IN Laptop,"12 Cores (4P + 8E), 16 Threads",16,Integrated Intel Iris Xe Graphics,Windows 11 OS,14,92890,12 Cores,Integrated,0,1000,11.43917128
Dell,Inspiron 7430 2 in 1 2023 Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,14,57990,Hexa Core,Intel,0,256,10.96802586
HP,15s-fy5007TU Laptop,"10 Cores (2P + 8E), 12 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,51999,10 Cores,Intel,0,512,10.85897977
Lenovo,Yoga Slim 6 83E00006IN Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,79990,12 Cores,Intel,0,512,11.28965691
Lenovo,IdeaPad Flex 5 14IRU8 82Y00051IN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,76890,10 Cores,Intel,0,512,11.25013111
Lenovo,IdeaPad 1 15ALC7 82R400BSIN Laptop,"Hexa Core, 12 Threads",8,AMD Radeon,Windows 11 OS,15.6,37790,"Hexa Core,",AMD,0,512,10.5397998
Acer,One 11 Z8-284 UN.013SI.033 Laptop,"Dual Core, 2 Threads",8,Intel Integrated UHD,Windows 11 OS,11.6,17990,"Dual Core,",Intel,0,128,9.797571327
HP,15s-fy5006TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,38990,Hexa Core,Intel,0,512,10.57106048
Lenovo,IdeaPad 3 15ITL6 82H803LJIN Laptop,"Quad Core, 8 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,15.6,41990,"Quad Core,",Intel,0,512,10.64518677
Lenovo,IdeaPad Slim 5 82XD005RIN Laptop,"Octa Core (4P + 4E), 12 Threads",16,Integrated Intel Iris Xe Graphics,Windows 11 OS,14,68990,Octa Core,Integrated,0,512,11.14171685
HP,Pavilion 14-dv2153TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,69990,10 Cores,Intel,0,1000,11.15610765
Acer,TravelMate P2 TMP214-53 Business Laptop,"Quad Core, 8 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,56990,"Quad Core,",Intel,0,1000,10.95063109
Asus,ROG Strix G15 G513RC-HN251WS Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX RTX 3050,Windows 11 OS,15.6,89990,"Octa Core,",4GB,0,1000,11.40745383
MSI,Thin GF63 12UC-846IN Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,62990,Octa Core,4GB,0,512,11.05073126
Lenovo,IdeaPad Slim 3 82RK00VWIN Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,37990,Hexa Core,Intel,0,512,10.54507825
Lenovo,IdeaPad Gaming 3 82SB00V4IN Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,58990,"Hexa Core,",4GB,0,512,10.98512322
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,"Dual Core, 2 Threads",8,AMD Radeon 610M Graphics,Windows 11 OS,15.6,26990,"Dual Core,",AMD,0,512,10.20322171
Asus,ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop,"10 Cores (6P + 4E), 16 Threads",16,6GB NVIDIA GeForce RTX 3050,Windows 11 OS,16,94990,10 Cores,6GB,0,1000,11.4615269
Asus,ROG Strix G17 G713RC-HX109WS Gaming Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,17.3,86189,"Octa Core,",4GB,0,512,11.36429784
Chuwi,FreeBook Laptop,"Hexa Core (2P + 4E), 8 Threads",12,Intel Integrated Intel UHD Graphics,Windows 11 OS,13.5,37990,Hexa Core,Intel,0,512,10.54507825
Lenovo,Legion Slim 7 16IRH8 82Y3007QIN Gaming Laptop,"14 Cores (6P + 8E), 20 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,194990,14 Cores,8GB,0,1000,12.18070355
Lenovo,IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop,"Quad Core, 8 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,51990,"Quad Core,",4GB,0,512,10.85880667
Lenovo,IdeaPad Slim 3 82H803U0IN Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,31990,"Dual Core,",Intel,0,256,10.37317863
Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,"5 Cores (1P + 4E), 6 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,41990,5 Cores,Intel,0,512,10.64518677
Asus,VivoBook 15 X1500EA-EJ311W Laptop,"Dual Core, 4 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,31990,"Dual Core,",Intel,0,256,10.37317863
Asus,Vivobook 15 X1504ZA-NJ542WS Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,15.6,51390,10 Cores,Intel,0,512,10.84719888
HP,Pavilion 15-eg3018TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,76900,10 Cores,Intel,0,1000,11.25026116
HP,15s-fq3066TU Laptop,"Dual Core, 2 Threads",8,Intel Integrated UHD,Windows 11 OS,15.6,27890,"Dual Core,",Intel,0,512,10.23602348
Lenovo,IdeaPad 3 82H803HRIN Laptop,"Quad Core, 8 Threads",16,Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,56990,"Quad Core,",Integrated,0,512,10.95063109
Asus,Vivobook Pro 15 M6500QC-HN751WS Laptop,"Octa Core, 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,73990,"Octa Core,",4GB,0,1000,11.21168523
HP,255 G9 841W6PA Laptop,"Dual Core, 4 Threads",8,AMD Radeon Graphics,DOS 3.0 OS,15.6,24999,"Dual Core,",AMD,0,512,10.1265911
HP,255 G8 7J035AA Laptop,"Hexa Core, 12 Threads",8,AMD Radeon ,Windows 11  OS,15.6,33999,"Hexa Core,",AMD,0,256,10.43408639
Lenovo,IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,"Octa Core (4P + 4E), 12 Threads",16,Intel UHD Graphics,Windows 11 OS,16,61990,Octa Core,Intel,0,512,11.03472836
HP,Victus15-fb0147AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB AMD Radeon AMD Radeon RX 6500M,Windows 11 OS,15.6,47990,"Hexa Core,",4GB,0,512,10.77874793
Asus,TUF Gaming F15  FX506HF-HN075W Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,53990,"Hexa Core,",4GB,0,512,10.89655412
HP,15S-EQ1550AU Laptop,"Dual Core, 4 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,31890,"Dual Core,",AMD,0,512,10.37004776
Asus,Vivobook Pro 15 M6500QF-HN541WS Creator Laptop,"Hexa Core, 12 Threads",16,4GB NVIDIA GeForce GTX 2050,Windows 11 OS,15.6,62390,"Hexa Core,",4GB,0,512,11.04116029
Wings,Nuvobook Pro Laptop,"Quad Core, 8 Threads",16,Intel Graphics,Windows 11 OS,14,49990,"Quad Core,",Intel,0,512,10.81957826
Wings,Nuvobook S1 Laptop,"Quad Core, 8 Threads",8,Intel Graphics,Windows 11 OS,15.6,29990,"Quad Core,",Intel,0,256,10.30861927
Infinix,INBook X3 Slim Series XL422 Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,49990,10 Cores,Intel,0,512,10.81957826
Dell,Vostro 3430 Laptop,"5 Cores (1P + 4E), 6 Threads",8,Intel UHD Graphics,Windows 11 OS,14,43490,5 Cores,Intel,0,512,10.68028631
Dell,Inspiron 7430 2 in 1 Touch Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,14,95640,10 Cores,Intel,0,1000,11.46834642
HP,Omen 16-xf0060AX Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,16,125990,"Octa Core,",8GB,0,1000,11.74395782
HP,Pavilion 15-eg3017TU Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,15.6,72990,10 Cores,Intel,0,1000,11.19807772
MSI,Thin GF63 11UCX-1497IN Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,47990,"Hexa Core,",4GB,0,512,10.77874793
HP,Victus  15-fa1060TX  Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,99999,12 Cores,6GB,0,512,11.51291546
Asus,Vivobook 15 X1504ZA-NJ325WS Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Integrated Intel UHD Graphics,Windows 11 OS,15.6,40990,Hexa Core,Integrated,0,512,10.62108341
Asus,Zenbook Flip 14 OLED UP5401ZA-KU741WS Laptop,"14 Cores (6P + 8E), 20 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14,94990,14 Cores,Intel,0,512,11.4615269
Asus,VivoBook 15 X1500EA-EJ326WS Laptop,"Dual Core, 4 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,37990,"Dual Core,",Intel,0,512,10.54507825
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,73990,Octa Core,4GB,0,512,11.21168523
Lenovo,LOQ 15APH8 82XT009CIN 2023 Gaming Laptop,"Octa Core, 16 Threads",16,8GB NVIDIA GeForce RTX 4060,Windows 11 OS,15.6,109990,"Octa Core,",8GB,0,512,11.60814473
